Word	uniqueID	WordNet ID	Wordnet ID2	Wordnet ID3	Wordnet ID4	WordNet Synonyms	Definition (from WordNet, Google, or Wikipedia)	Bigram	Percent_known	Rank (combining COCA/concreteness)	Concreteness (M)	COCA word freq (online)	COCA word freq	COCA (dispersion)	COCA (rank)	BNC freq	SUBTLEX freq	Dominant Part of Speech	Bottom-up Category (Human Raters)	Top-down Category (WordNet)	Top-down Category (manual selection)	All Bottom-up Categories	Number of word meanings in list	Example image
bullet	bullet	n02916350	bullet%1:06:00::	bullet#1	bullet.n.01	bullet, slug	a projectile that is fired from a gun	0	1	3218.5	4.83	8594	11706	0.95	2756	717	1950	Noun		weapon	weapon	ammunition	1	https://imgur.com/L8nqyl5
bulletin board	bulletin_board	n02916538	bulletin_board%1:06:00::	bulletin_board#2	bulletin_board.n.02	bulletin_board, notice_board	a board that hangs on a wall; displays announcements	1	1	6761	4.93	1040					0	#N/A				information communication device	1	https://imgur.com/oo0MWuM
bulletproof vest	bulletproof_vest	n02916936	bulletproof_vest%1:06:00::	bulletproof_vest#1	bulletproof_vest.n.01	bulletproof_vest	a vest capable of resisting the impact of a bullet	1	1	12786.5	4.9	163					0	#N/A		clothing	clothing	protective clothing	1	https://imgur.com/W2aEsst
bumper	bumper	n02918595	bumper%1:06:00::	bumper#2	bumper.n.02	bumper	a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage	0	1	5772.5	4.96	1214	1350	0.91	10884	303	181	Noun	part of car		part of car	part of car	1	https://imgur.com/x4Cbgwo
bun	bun					bun	a roll designed for holding other food, in particular meat	0	1	5832	4.88	1665	1833	0.92	9152	258	147	Noun			food	bread, sandwich bread	1	https://imgur.com/6d3eDs8
bungee	bungee	n02919890	bungee%1:06:00::	bungee#1	bungee.n.01	bungee, bungee_cord	an elasticized rope	0	1	15364.5	4.39	444	339	0.88	21731		36	Noun	tool, sports equipment			tool, sports equipment	1	https://imgur.com/QYdOhvo
bunkbed	bunkbed	n02920259	bunk%1:06:02::	bunk#6	bunk.n.06	bunk_bed, bunk	beds built one above the other	0	1	12837	4.93	142					0	#N/A	furniture	furniture	furniture	furniture, bedroom furniture	1	https://imgur.com/YsCM4Ok
buoy	buoy	n07266178	buoy%1:10:00::	buoy#1	buoy.n.01	buoy	bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards	0	0.96	11194.5	4.57	670	798	0.9	14526	78	60	Noun				nautical device	1	https://imgur.com/sjEKuoD
burner	burner	n02923331	burner%1:06:01::	burner#2	burner.n.02	burner	the heating elements of a stove or range on which pots and pans are placed for cooking	0	1	6584.5	4.78	1878	2119	0.93	8369	142	93	Noun	kitchen appliance		kitchen appliance	kitchen appliance, part of stove	1	https://imgur.com/B1SNtNx
burrito	burrito	n07880968	burrito%1:13:00::	burrito#1	burrito.n.01	burrito	a flour tortilla folded around a filling	0	0.97	7741	5	549	616	0.9	16570		84	Noun	food	food	food	food	1	https://imgur.com/Vvlp68Q
bus	bus	n02924116	bus%1:06:00::	bus#1	bus.n.01	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger_vehicle	a vehicle carrying many passengers; used for public transport	0	1	1701	4.9	27236	25937	0.95	1457	5465	3783	Noun	vehicle		vehicle	vehicle	1	https://imgur.com/Fo9o0vv
bush	bush	n13112664	bush%1:20:00::	bush#1	bush.n.01	shrub, bush	a low woody perennial plant usually having several major stems	0	1	3176	4.9	64886	6307	0.92	4294	3768	720	Noun	plant	plant	plant	plant	1	https://imgur.com/OZlnGWG
butter	butter	n07848338	butter%1:13:00::	butter#1	butter.n.01	butter	an edible emulsion of fat globules made by churning milk or cream; for cooking and table use	0	1	2151.5	4.9	20420	14780	0.9	2418	2130	1042	Noun	food	food	food	dairy product, food	1	https://imgur.com/Na4KcXb
butterfly	butterfly	n02274259	butterfly%1:05:00::	butterfly#1	butterfly.n.01	butterfly	diurnal insect typically having a slender body with knobbed antennae and broad colorful wings	0	1	3258	4.93	4026	5031	0.94	4971		281	Noun	insect	animal, insect	animal, insect	insect	1	https://imgur.com/cfxY1xi
button	button1	n02928608	button%1:06:00::	button#1	button.n.01	button	a round fastener sewn to shirts and coats etc to fit through buttonholes	0	1	1773	4.96	11095	12552	0.93	2661	1694	1441	Noun	clothing accessory		clothing accessory	clothing accessory, clothing fastener	2	https://imgur.com/xX4SxSj
button	button2	n04027023	button%1:06:01::	button#2	button.n.02	push_button, push, button	an electrical switch operated by pressing	0	1	1773	4.96	11095	12552	0.93	2661	1694	1441	Noun				activator	2	https://imgur.com/JWFHmVp
cabbage	cabbage	n11875691	cabbage%1:20:00::	cabbage#3	cabbage.n.03	cabbage, cultivated_cabbage, Brassica_oleracea	any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers	0	1	6211	4.75	3526	2829	0.91	7088	367	148	Noun	vegetable	plant	plant, food, vegetable	vegetable	1	https://imgur.com/5XzAqnU
cabinet	cabinet	n02933112	cabinet%1:06:00::	cabinet#1	cabinet.n.01	cabinet	a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display	0	1	2549	4.89	12117	11846	0.96	2709		425	Noun		furniture	furniture, container	storage, kitchen furniture	1	https://imgur.com/ikZyB17
cable	cable	n02934168	cable%1:06:02::	cable#2	cable.n.02	cable, line, transmission_line	a conductor for transmitting electrical or optical signals or electric power	0	1	3706	4.74	19330	18277	0.93	2013	1907	1108	Noun				electrical equipment	1	https://imgur.com/1xkYkIX
cactus	cactus	n11842204	cactus%1:20:00::	cactus#1	cactus.n.01	cactus	any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines	0	1	4772	5	1927	1746	0.9	9515	84	148	Noun	plant	plant	plant	plant, desert plant	1	https://imgur.com/nEszJCT
cage	cage	n02936714	cage%1:06:00::	cage#1	cage.n.01	cage, coop	an enclosure made or wire or metal bars in which birds or animals can be kept	0	1	2212.5	5	6757	6621	0.92	4176	1021	1034	Noun	container		container	pet supply, container	1	https://imgur.com/S7qLVb9
cake	cake	n07628870	cake%1:13:00::	cake#3	cake.n.03	cake	baked goods made from or based on a mixture of flour, sugar, eggs, and fat	0	1	3284	4.81	14384	13336	0.92	2556	2807	2298	Noun	dessert		food, dessert	dessert	1	https://imgur.com/CiqvriZ
cake mix	cake_mix	n07594066	cake_mix%1:13:00::	cake_mix#1	cake_mix.n.01	cake_mix	a commercial mix for making a cake	1	1	12514	4.89	190					0	#N/A		food	food, dessert	baking supply	1	https://imgur.com/5pS8TIt
calamari	calamari	n07781801	calamari%1:13:00::	calamari#1	calamari.n.01	squid, calamari, calamary	(Italian cuisine) squid prepared as food	0	1	12967.5	4.79	327	235	0.84	25734		31	Noun	food		food	seafood, food	1	https://imgur.com/1FBcluU
calculator	calculator	n02938886	calculator%1:06:00::	calculator#2	calculator.n.02	calculator, calculating_machine	a small machine that is used for mathematical calculations	0	1	7256	4.86	1130	1151	0.92	11833		66	Noun				computing device, school supply	1	https://imgur.com/MksPtYT
calf	calf1	n01887896	calf%1:05:00::	calf#1	calf.n.01	calf	young of domestic cattle	0	0.96	8024	4.48	2951	4044	0.93	5698	648	151	Noun	animal	animal	animal	baby animal, animal	2	https://imgur.com/JvnNuFY
calf	calf2	n05574332	calf%1:08:00::	calf#2	calf.n.02	calf, sura	the muscular back part of the shank	0	0.96	8024	4.48	2951	4044	0.93	5698	648	151	Noun	body part	body part	body part	body part	2	https://imgur.com/gznH3Vs
calzone	calzone					calzone, calzone_pizza	a type of pizza that is folded in half before cooking to contain a filling	0	0.96	16687.5	4.78	39	44	0.81	44703		5	Noun	food		food	food	1	https://imgur.com/Uh7Wyao
camcorder	camcorder	n02942349	camcorder%1:06:00::	camcorder#1	camcorder.n.01	camcorder	a portable television camera and videocassette recorder	0	1	6315	5	747	984	0.87	13303		32	Noun			electronic device	video equipment	1	https://imgur.com/W94cQg9
camel	camel	n02437136	camel%1:05:00::	camel#1	camel.n.01	camel	cud-chewing mammal used as a draft or saddle animal in desert regions	0	1	4233.5	4.93	2366	2880	0.9	7059	419	256	Noun	animal	animal	animal	animal, desert animal	1	https://imgur.com/e08hUH6
camera lens	camera_lens	n02943241	camera_lens%1:06:00::	camera_lens#1	camera_lens.n.01	camera_lens, optical_lens	a lens that focuses the image in a camera	1	1	10997	4.97	236					0	#N/A				photography equipment, photography	1	https://imgur.com/XI9XQWA
camera	camera1	n02942699	camera%1:06:00::	camera#1	camera.n.01	camera, photographic_camera	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)	0	1	538.5	5	43939	41218	0.95	950		2907	Noun	electronic device			recording device, electronic device	2	https://imgur.com/2kadr9G
camera	camera2	n04404997	camera%1:06:01::	camera#2	camera.n.02	television_camera, tv_camera, camera	television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam	0	1	538.5	5	43939	41218	0.95	950		2907	Noun			electronic device	camera accessory, photography equipment	2	https://imgur.com/KmzUlhA
camper	camper	n02946348	camper%1:06:00::	camper#2	camper.n.02	camper, camping_bus, motor_home	a recreational vehicle equipped for camping out while traveling	0	1	8492	4.63	948	1755	0.92	9379	45	73	Noun	vehicle	container, vehicle	vehicle	recreational vehicle, vehicle	1	https://imgur.com/oYuF91t
can	can	n02946921	can%1:06:00::	can#1	can.n.01	can, tin, tin_can	airtight sealed metal container for food or drink or paint etc.	0	1	6039	4.55	8231	10718	0.94	2967	236321	267620	Verb	container	container	container	drink container, container	1	https://imgur.com/gnuy0L2
can opener	can_opener	n02951585	can_opener%1:06:00::	can_opener#1	can_opener.n.01	can_opener, tin_opener	a device for cutting cans open	1	1	11969	4.93	196					0	#N/A	kitchen tool	tool	kitchen tool, tool	kitchen tool	1	https://imgur.com/KZgHukj
candelabra	candelabra	n02947818	candelabra%1:06:00::	candelabra#1	candelabra.n.01	candelabrum, candelabra	branched candlestick; ornamental; has several lights	0	0.9	11995.5	4.88	279	236	0.88	25247		6	Noun	home decor		home decor	home decor	1	https://imgur.com/cLqoBKv
candle	candle	n02948072	candle%1:06:00::	candle#1	candle.n.01	candle, taper, wax_light	stick of wax with a wick in the middle	0	1	3478.5	4.86	4158	7204	0.91	3958	802	409	Noun	home decor		home decor	home decor, lighting	1	https://imgur.com/uiYXnjQ
candlestick	candlestick	n02948557	candlestick%1:06:00::	candlestick#1	candlestick.n.01	candlestick, candle_holder	a holder with sockets for candles	0	1	9124	4.93	578	481	0.89	18612		25	Noun	home decor		home decor	home decor	1	https://imgur.com/ulsGvwD
candy	candy	n07597365	candy%1:13:00::	candy#1	candy.n.01	candy, confect	a rich sweet made of flavored sugar and often combined with fruit or nuts	0	1	3588	4.83	10497	8633	0.93	3469	368	1825	Noun	food	food	food	sweets, food	1	https://imgur.com/IAGsWEC
candy bar	candy_bar	n07598256	candy_bar%1:13:00::	candy_bar#1	candy_bar.n.01	candy_bar	a candy shaped as a bar	1	1	9138	4.96	444					0	#N/A		food	food	junk food, snack	1	https://imgur.com/j4hUuDz
candy cane	candy_cane	n07601572	candy_cane%1:13:00::	candy_cane#1	candy_cane.n.01	candy_cane	a hard candy in the shape of a rod (usually with stripes)	1	1	12827.5	4.97	120					0	#N/A		food	food	christmas candy, candy	1	https://imgur.com/SeIK3fX
cane	cane	n02949202	cane%1:06:01::	cane#1	cane.n.01	cane	a stick that people can lean on to help them walk	0	1	4085.5	4.87	4959	4481	0.93	5358	473	425	Noun	medical equipment		medical equipment	medical equipment	1	https://imgur.com/L7AEPJn
canister	canister	n02949542	canister%1:06:00::	canister#2	canister.n.02	canister, cannister, tin	metal container for storing dry foods such as tea or flour	0	1	6230	4.93	918	1259	0.9	11417		73	Noun	container	container	container	kitchen storage, container	1	https://imgur.com/3hHAkuq
cannon	cannon	n02950256	cannon%1:06:00::	cannon#1	cannon.n.01	cannon	a large artillery gun that is usually on wheels	0	1	6557.5	4.79	3768	2030	0.93	8585	659	444	Noun	weapon		weapon	weapon	1	https://imgur.com/kx8MQOC
cannonball	cannonball	n02950943	cannonball%1:06:00::	cannonball#1	cannonball.n.01	cannonball, cannon_ball, round_shot	a solid projectile that in former times was fired from a cannon	0	1	12274.5	4.8	329	282	0.89	23313		73	Noun	weapon	weapon	weapon	ammunition, weapon	1	https://imgur.com/IUqEp1Z
canoe	canoe	n02951358	canoe%1:06:00::	canoe#1	canoe.n.01	canoe	small and light boat; pointed at both ends; propelled with a paddle	0	1	4874.5	4.86	2920	3101	0.91	6707	400	182	Noun		vehicle	vehicle	boat, watercraft	1	https://imgur.com/PlsUSqI
cantaloupe	cantaloupe	n07755929	cantaloup%1:13:00::	cantaloup#2	cantaloup.n.02	cantaloup, cantaloupe	the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh	0	0.96	10981.5	4.76	580	479	0.91	18480		38	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/yfJIXco
canvas	canvas	n02954068	canvas%1:06:04::	canvas#2	canvas.n.02	canvas, canvass	an oil painting on canvas fabric	0	1	4265	4.78	8542	7795	0.91	3760	1139	216	Noun				art supply	1	https://imgur.com/v2sVFi6
cap	cap	n02954938	cap%1:06:02::	cap#2	cap.n.02	cap	a top (as for a bottle)	0	0.96	5361.5	4.59	14869	14672	0.95	2320	2119	956	Noun				bottle top	1	https://imgur.com/IHry7kB
cape	cape	n02955767	cape%1:06:00::	cape#2	cape.n.02	cape, mantle	a sleeveless garment like a cloak but shorter	0	1	7299	4.77	7798	1628	0.9	9869	993	420	Name	clothing	clothing	clothing	clothing	1	https://imgur.com/gHaw963
car	car	n02958343	car%1:06:00::	car#1	car.n.01	car, auto, automobile, machine, motorcar	a motor vehicle with four wheels; usually propelled by an internal combustion engine	0	1	1274	4.89	128950	133571	0.94	289	27873	24636	Noun	vehicle	container, vehicle	vehicle	vehicle	1	https://imgur.com/5asitdT
car door	car_door	n02963821	car_door%1:06:00::	car_door#1	car_door.n.01	car_door	the door of a car	1	1	9227	4.69	1066					0	#N/A	part of car		part of car	part of car	1	https://imgur.com/Kq8XTiG
car seat	car_seat	n02970685	car_seat%1:06:00::	car_seat#1	car_seat.n.01	car_seat	a seat in a car	1	1	7878	4.93	709					0	#N/A	part of car		part of car	part of car	1	https://imgur.com/0qZbYRk
caramel	caramel	n07601809	caramel%1:13:00::	caramel#1	caramel.n.01	caramel	firm chewy candy made from caramelized sugar and butter and milk	0	1	9732.5	4.73	1286	769	0.89	14900		63	Noun		food	food, dessert	candy	1	https://imgur.com/cplZBbD
card	card	n02962545	card%1:06:00::	card#1	card.n.01	card	one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes	0	1	1410	4.9	34723	43605	0.96	893	5739	4357	Noun				game	1	https://imgur.com/NlH9oXG
cardboard	cardboard	n14799601	cardboard%1:27:00::	cardboard#1	cardboard.n.01	cardboard, composition_board	a stiff moderately thick paper	0	1	6378	4.9	1658	1323	0.93	10931	743	138	Adjective				paper product	1	https://imgur.com/5SYY2Fs
cardigan	cardigan	n02963159	cardigan%1:06:00::	cardigan#1	cardigan.n.01	cardigan	knitted jacket that is fastened up the front with buttons or a zipper	0	1	8135	4.96	863	610	0.88	16776		29	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/vDaSALy
cardinal	cardinal	n01541386	cardinal%1:05:00::	cardinal#4	cardinal.n.04	cardinal, cardinal_grosbeak, Richmondena_Cardinalis, Cardinalis_cardinalis, redbird	crested thick-billed North American finch having bright red plumage in the male	0	1	8228	4.74	4457	1270				208	Noun	bird	animal, bird	animal, bird	bird	1	https://imgur.com/OtaNGT2
carousel	carousel	n02966193	carousel%1:06:00::	carousel#2	carousel.n.02	carousel, carrousel, merry-go-round, roundabout, whirligig	a large, rotating machine with seats for children to ride or amusement	0	1	8990.5	4.93	1006	501	0.91	18070		73	Noun				amusement park ride	1	https://imgur.com/0OOj5a9
carriage	carriage	n02968473	carriage%1:06:00::	carriage#2	carriage.n.02	carriage, equipage, rig	a vehicle with wheels drawn by one or more horses	0	0.97	4833.5	4.86	3786	3197	0.9	6628	1983	381	Noun	vehicle	container, vehicle	vehicle	vehicle, horse-drawn vehicle	1	https://imgur.com/UV1Mat1
carrot	carrot	n07730207	carrot%1:13:00::	carrot#3	carrot.n.03	carrot	orange root; important source of carotene	0	1	2443.5	5	2923	5718	0.91	4641	383	195	Noun	vegetable	vegetable	food, vegetable	vegetable	1	https://imgur.com/rLOQhZT
cart	cart	n02970849	cart%1:06:00::	cart#1	cart.n.01	cart	a heavy open wagon usually having two wheels and drawn by an animal	0	1	3230	4.89	6676	6822	0.92	4085	992	461	Noun	vehicle	container, vehicle	vehicle	vehicle	1	https://imgur.com/QtnQEdl
cash machine	cash_machine	n02977058	cash_machine%1:06:00::	cash_machine#1	cash_machine.n.01	cash_machine, cash_dispenser, automated_teller_machine, automatic_teller_machine, automated_teller, automatic_teller, ATM	an unattended machine (outside some banks) that dispenses money when a personal coded card is used	1	1	16035.5	4.78	67					0	#N/A			electronic device	banking device	1	https://imgur.com/RWTPYI6
cash register	cash_register	n02977438	cash_register%1:06:00::	cash_register#1	cash_register.n.01	cash_register, register	a cashbox with an adding machine to register transactions; used in shops to add up the bill	1	1	6617.5	4.97	941					0	#N/A		container		business equipment	1	https://imgur.com/D0BBnsY
cashew	cashew	n07772147	cashew%1:13:00::	cashew#2	cashew.n.02	cashew, cashew_nut	kidney-shaped nut edible only when roasted	0	1	9943.5	4.92	212	392	0.83	21027	28	11	Noun		fruit	food	nut	1	https://imgur.com/zLzaTy0
casserole	casserole	n07580359	casserole%1:13:00::	casserole#1	casserole.n.01	casserole	food cooked and served in a casserole	0	1	6492.5	4.87	1538	1448	0.89	10600		85	Noun	food	food	food	food	1	https://imgur.com/V4Kg3Ok
cassette	cassette	n02978881	cassette%1:06:00::	cassette#1	cassette.n.01	cassette	a container that holds a magnetic tape used for recording or playing sound or video	0	1	8337.5	4.6	1708	2110	0.93	8362	761	93	Noun		container		audio recording equipment	1	https://imgur.com/bgvNwk8
cat	cat	n02121620	cat%1:05:00::	cat#1	cat.n.01	cat, true_cat	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats	0	1	2343.5	4.86	20378	21135	0.92	1785	3952	3383	Noun	animal	animal	animal	animal, pet	1	https://imgur.com/W1E0exY
catapult	catapult	n02981911	catapult%1:06:00::	catapult#3	catapult.n.03	catapult, arbalest, arbalist, ballista, bricole, mangonel, onager, trebuchet, trebucket	an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles	0	1	14494.5	4.43	443	405	0.91	19893		31	Noun	weapon		weapon	weapon, medieval weaponry	1	https://imgur.com/MAjGZya
caterpillar	caterpillar	n02309337	caterpillar%1:05:00::	caterpillar#1	caterpillar.n.01	caterpillar	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth	0	1	7768.5	4.87	1349	911	0.9	13595		57	Noun	insect	animal	animal, insect	insect	1	https://imgur.com/ynmdL39
catfish	catfish	n02517442	catfish%1:05:01::	catfish#3	catfish.n.03	catfish, siluriform_fish	any of numerous mostly freshwater bottom-living fishes of Eurasia and North America with barbels like whiskers around the mouth	0	1	5982.5	4.85	2343	2021	0.9	8758	231	63	Noun		animal	animal, food	fish	1	https://imgur.com/kIQe9ea
cauliflower	cauliflower	n07715103	cauliflower%1:13:00::	cauliflower#2	cauliflower.n.02	cauliflower	compact head of white undeveloped flowers	0	1	8417.5	5	890	496	0.86	18708		28	Noun	vegetable	vegetable	food, vegetable	vegetable	1	https://imgur.com/xpRSM17
caviar	caviar	n07799579	caviar%1:13:00::	caviar#1	caviar.n.01	caviar, caviare	salted roe of sturgeon or other large fish; usually served as an hors d'oeuvre	0	1	9949.5	4.7	1032	792	0.88	14721		195	Noun	food		food	food	1	https://imgur.com/9mXC7Cq
cd player	cd_player	n02988304	cd_player%1:06:00::	CD_player#1	CD_player.n.01	CD_player	a stand-alone piece of electronic equipment that either has its own display or attaches to a television set	1	1	9117.5	4.86	618					0	#N/A	electronic device		electronic device	electronic device, music player	1	https://imgur.com/Hcumxda
celery	celery	n07730406	celery%1:13:00::	celery#2	celery.n.02	celery	stalks eaten raw or cooked or used as seasoning	0	1	6175	4.8	3243	2246	0.89	8318		95	Noun	vegetable	vegetable	food, vegetable	vegetable	1	https://imgur.com/nqMXvHV
cello	cello	n02992211	cello%1:06:00::	cello#1	cello.n.01	cello, violoncello	a large stringed instrument; seated player holds it upright while playing	0	0.97	6605.5	4.96	1111	1007	0.84	13388	192	95	Noun	musical instrument	musical instrument	musical instrument	musical instrument, string instrument	1	https://imgur.com/HVpv0P0
cellphone	cellphone	n02992529	cellphone%1:06:00::	cellphone#1	cellphone.n.01	cellular_telephone, cellular_phone, cellphone, cell, mobile_phone	a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver	0	0.96	4971	5	2000	1613	0.79	10700		157	#N/A	electronic device		electronic device	communication device, electronic device	1	https://imgur.com/C37WOca
cement mixer	cement_mixer	n03087069	cement_mixer%1:06:00::	cement_mixer#1	cement_mixer.n.01	concrete_mixer, cement_mixer	a machine with a large revolving drum in which cement is mixed with other materials to make concrete	1	0.97	14159.5	5	53					0	#N/A				construction equipment	1	https://imgur.com/4VR6H5F
centerpiece	centerpiece	n02994419	centerpiece%1:06:00::	centerpiece#2	centerpiece.n.02	centerpiece, centrepiece	something placed at the center of something else (as on a table)	0	1	8260.5	4.62	2425	2028	0.94	8513		32	Noun	home decor	decoration	home decor	home decor, table decoration	1	https://imgur.com/4BqAluV
centrifuge	centrifuge	n02995998	centrifuge%1:06:00::	centrifuge#1	centrifuge.n.01	centrifuge, extractor, separator	an apparatus that uses centrifugal force to separate particles from a suspension	0	0.9	14771.5	4.38	359	415	0.85	20284		5	Noun			electronic device	laboratory equipment, scientific equipment	1	https://imgur.com/SgwjgzD
cereal	cereal	n07702796	cereal%1:13:00::	cereal#3	cereal.n.03	cereal	a breakfast food prepared from grain	0	1	4976.5	4.83	3629	3550	0.92	6204	477	324	Noun	food		food	breakfast food, food	1	https://imgur.com/0aotQbE
chain	chain	n02999410	chain%1:06:00::	chain#3	chain.n.03	chain	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	0	1	5458	4.55	19058	19688	0.96	1815	3733	1082	Noun	tool		tool	tool, tethering device	1	https://imgur.com/ORyzkbE
chainsaw	chainsaw	n03000684	chainsaw%1:06:00::	chainsaw#1	chainsaw.n.01	chain_saw, chainsaw	portable power saw; teeth linked to form an endless chain	0	1	9695	4.9	471	441	0.89	19429		55	Noun	tool	tool	electronic device, weapon, tool	power tool, tool	1	https://imgur.com/Zh7OIr0
chair	chair	n03001627	chair%1:06:00::	chair#1	chair.n.01	chair	a seat for one person, with a support for the back	0	1	4713	4.58	42649	43256	0.91	947	7997	2511	Noun	furniture	furniture	furniture	furniture	1	https://imgur.com/Y5WqRBt
chalice	chalice	n03002948	chalice%1:06:00::	chalice#1	chalice.n.01	chalice, goblet	a bowl-shaped drinking vessel; especially the Eucharistic cup	0	1	11506	4.83	373	327	0.88	22044	107	32	Noun		container		cup	1	https://imgur.com/b7XoSia
chalk	chalk	n03003091	chalk%1:06:00::	chalk#4	chalk.n.04	chalk	a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces	0	1	5628.5	4.9	2241	1773	0.92	9287	932	183	Noun				writing tool, school supply	1	https://imgur.com/TWu8DDq
chalkboard	chalkboard	n02846511	chalkboard%1:06:00::	chalkboard#1	chalkboard.n.01	blackboard, chalkboard	sheet of slate; for writing with chalk	0	1	8932.5	4.97	600	452	0.91	18948		12	Noun				classroom supply, school supply	1	https://imgur.com/Slip8DH
champagne	champagne	n07893642	champagne%1:13:00::	champagne#1	champagne.n.01	champagne, bubbly	a white sparkling wine either produced in Champagne or resembling that produced there	0	1	4703.5	4.82	5658	4375	0.92	5460	1931	1596	Noun	drink	food, beverage	drink	alcoholic drink, drink	1	https://imgur.com/x1b9GWS
chandelier	chandelier	n03005285	chandelier%1:06:00::	chandelier#1	chandelier.n.01	chandelier, pendant, pendent	branched lighting fixture; often ornate; hangs from the ceiling	0	1	7257	4.79	1247	1523	0.89	10327		72	Noun			home decor	lighting	1	https://imgur.com/eNuKnop
chaps	chaps	n03006903	chap%1:06:00::	chap#4	chap.n.04	chap	(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs	0	0.96	10246.5	4.62	444				419	131	Noun	clothing	clothing	clothing	clothing	1	https://imgur.com/rYkeX4e
charcoal	charcoal	n14685296	charcoal%1:27:00::	charcoal#1	charcoal.n.01	charcoal, wood_coal	a carbonaceous material obtained by heating wood or other organic matter in the absence of air	0	1	5432.5	4.85	3137	2566	0.91	7571	505	90	Noun				fuel, grilling accessory	1	https://imgur.com/2EDYkzb
charger	charger	n03008976	charger%1:06:00::	charger#2	charger.n.02	charger, battery_charger	a device for charging or recharging batteries	0	1	14401	4.39	970	459	0.86	19349	92	62	Noun				electronic accessory	1	https://imgur.com/G9F5qdN
chariot	chariot	n03009269	chariot%1:06:01::	chariot#2	chariot.n.02	chariot	a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome	0	1	9003	4.86	613	640	0.87	16460	232	103	Noun	vehicle	container, vehicle	vehicle	vehicle, horse-drawn vehicle	1	https://imgur.com/4PYsM7A
checkbook	checkbook	n13414310	checkbook%1:21:00::	checkbook#1	checkbook.n.01	checkbook, chequebook	a book issued to holders of checking accounts	0	1	6808.5	4.97	930	880	0.94	13540	1	120	Noun				banking item	1	https://imgur.com/S40Jzru
checkers	checkers	n00502952	checkers%1:04:00::	checkers#1	checkers.n.01	checkers, draughts	a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces	0	1	8180.5	4.89	684				24	96	Noun				board game, game	1	https://imgur.com/CLMFmOL
cheese	cheese	n07850329	cheese%1:13:00::	cheese#1	cheese.n.01	cheese	a solid food prepared from the pressed curd of milk	0	1	4118	4.7	23718	17416	0.9	2116	2589	1991	Noun	food	food	food, dessert	dairy product, food	1	https://imgur.com/vwgproL
cheeseburger	cheeseburger	n07697313	cheeseburger%1:13:00::	cheeseburger#1	cheeseburger.n.01	cheeseburger	a hamburger with melted cheese on it	0	1	8570.5	4.93	559	571	0.92	16940		163	Noun	food	food	food	food, fast food	1	https://imgur.com/jf0E7gb
cheesecake	cheesecake	n07630089	cheesecake%1:13:00::	cheesecake#1	cheesecake.n.01	cheesecake	made with sweetened cream cheese and eggs and cream baked in a crumb crust	0	1	6845	4.97	1059	869	0.88	14097	71	118	Noun	dessert		food, dessert	dessert	1	https://imgur.com/20IEq1A
cheetah	cheetah	n02130308	cheetah%1:05:00::	cheetah#1	cheetah.n.01	cheetah, chetah, Acinonyx_jubatus	long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game	0	1	11798	4.7	440	445	0.85	19661	76	117	Noun	animal	animal	animal	animal, cat	1	https://imgur.com/9hLWCnI
cherry	cherry	n07757132	cherry%1:13:00::	cherry#3	cherry.n.03	cherry	a red fruit with a single hard stone	0	1	6811	4.62	7643	4153	0.92	5647	866	693	Noun	fruit	fruit	food, fruit	fruit	1	https://imgur.com/rOPJyP3
chess piece	chess_piece	n03014440	chess_piece%1:06:00::	chess_piece#1	chess_piece.n.01	chessman, chess_piece	any of 16 white and 16 black pieces used in playing the game of chess	1	1	14936.5	4.93	47					0	#N/A				game piece, board game	1	https://imgur.com/cddmPsB
chessboard	chessboard	n03014317	chessboard%1:06:00::	chessboard#1	chessboard.n.01	chessboard, chess_board	a checkerboard used to play chess	0	1	14011.5	4.68	289	239	0.85	25437	38	17	Noun				board game, part of game	1	https://imgur.com/ZqIcbx6
